AIRPORT,Year,Month,Dom_Acm_In,Int_Acm_In,Acm_In
ADELAIDE,1985,1,1908,35,1943
ADELAIDE,1985,2,1672,31,1703
ADELAIDE,1985,3,1878,39,1917
ADELAIDE,1985,4,1803,28,1831
ADELAIDE,1985,5,2014,31,2045
ADELAIDE,1985,6,1783,32,1815
ADELAIDE,1985,7,1935,29,1964
ADELAIDE,1985,8,2156,34,2190
ADELAIDE,1985,9,1992,29,2021
ADELAIDE,1985,10,2090,35,2125
ADELAIDE,1985,11,2207,55,2262
ADELAIDE,1985,12,2088,65,2153
ADELAIDE,1986,1,2000,70,2070
ADELAIDE,1986,2,1927,62,1989
ADELAIDE,1986,3,2158,70,2228
ADELAIDE,1986,4,2187,68,2255
ADELAIDE,1986,5,2406,70,2476
ADELAIDE,1986,6,2428,67,2495
ADELAIDE,1986,7,2470,69,2539
ADELAIDE,1986,8,2501,70,2571
ADELAIDE,1986,9,2551,68,2619
ADELAIDE,1986,10,1891,72,1963
ADELAIDE,1986,11,1775,71,1846
ADELAIDE,1986,12,1972,77,2049
ADELAIDE,1987,1,1811,71,1882
ADELAIDE,1987,2,1742,67,1809
ADELAIDE,1987,3,2088,74,2162
ADELAIDE,1987,4,1921,63,1984
ADELAIDE,1987,5,1888,64,1952
ADELAIDE,1987,6,1821,66,1887
ADELAIDE,1987,7,1959,68,2027
ADELAIDE,1987,8,1981,65,2046
ADELAIDE,1987,9,1815,70,1885
ADELAIDE,1987,10,2007,71,2078
ADELAIDE,1987,11,2030,68,2098
ADELAIDE,1987,12,1979,70,2049
ADELAIDE,1988,1,1827,75,1902
ADELAIDE,1988,2,1822,69,1891
ADELAIDE,1988,3,1999,70,2069
ADELAIDE,1988,4,1866,63,1929
ADELAIDE,1988,5,1904,67,1971
ADELAIDE,1988,6,1842,68,1910
ADELAIDE,1988,7,2138,66,2204
ADELAIDE,1988,8,2073,66,2139
ADELAIDE,1988,9,2116,65,2181
ADELAIDE,1988,10,2020,66,2086
ADELAIDE,1988,11,2117,69,2186
ADELAIDE,1988,12,1907,70,1977
ADELAIDE,1989,1,1881,74,1955
ADELAIDE,1989,2,1806,64,1870
ADELAIDE,1989,3,2047,70,2117
ADELAIDE,1989,4,1953,82,2035
ADELAIDE,1989,5,1973,84,2057
ADELAIDE,1989,6,1958,80,2038
ADELAIDE,1989,7,2135,86,2221
ADELAIDE,1989,8,1812,88,1900
ADELAIDE,1989,9,1286,86,1372
ADELAIDE,1989,10,1533,93,1626
ADELAIDE,1989,11,1695,88,1783
ADELAIDE,1989,12,1532,90,1622
ADELAIDE,1990,1,1438,93,1531
ADELAIDE,1990,2,1548,84,1632
ADELAIDE,1990,3,1688,94,1782
ADELAIDE,1990,4,1665,90,1755
ADELAIDE,1990,5,1757,94,1851
ADELAIDE,1990,6,1671,90,1761
ADELAIDE,1990,7,1831,91,1922
ADELAIDE,1990,8,1851,92,1943
ADELAIDE,1990,9,1895,92,1987
ADELAIDE,1990,10,2162,100,2262
ADELAIDE,1990,11,2077,88,2165
ADELAIDE,1990,12,2005,95,2100
ADELAIDE,1991,1,2008,99,2107
ADELAIDE,1991,2,1922,87,2009
ADELAIDE,1991,3,2111,91,2202
ADELAIDE,1991,4,2111,86,2197
ADELAIDE,1991,5,2066,86,2152
ADELAIDE,1991,6,2037,101,2138
ADELAIDE,1991,7,2199,103,2302
ADELAIDE,1991,8,2226,108,2334
ADELAIDE,1991,9,2136,95,2231
ADELAIDE,1991,10,2348,95,2443
ADELAIDE,1991,11,2348,101,2449
ADELAIDE,1991,12,2279,100,2379
ADELAIDE,1992,1,2112,100,2212
ADELAIDE,1992,2,2033,98,2131
ADELAIDE,1992,3,2334,100,2434
ADELAIDE,1992,4,2210,101,2311
ADELAIDE,1992,5,2268,99,2367
ADELAIDE,1992,6,2225,97,2322
ADELAIDE,1992,7,2343,102,2445
ADELAIDE,1992,8,2390,101,2491
ADELAIDE,1992,9,2400,100,2500
ADELAIDE,1992,10,2443,105,2548
ADELAIDE,1992,11,2467,90,2557
ADELAIDE,1992,12,2396,94,2490
ADELAIDE,1993,1,2189,91,2280
ADELAIDE,1993,2,2181,84,2265
ADELAIDE,1993,3,2441,90,2531
ADELAIDE,1993,4,2270,99,2369
ADELAIDE,1993,5,2297,93,2390
ADELAIDE,1993,6,2315,93,2408
ADELAIDE,1993,7,2393,101,2494
ADELAIDE,1993,8,2451,95,2546
ADELAIDE,1993,9,2423,94,2517
ADELAIDE,1993,10,2457,99,2556
ADELAIDE,1993,11,2440,94,2534
ADELAIDE,1993,12,2366,100,2466
ADELAIDE,1994,1,2266,98,2364
ADELAIDE,1994,2,2190,89,2279
ADELAIDE,1994,3,2550,97,2647
ADELAIDE,1994,4,2365,94,2459
ADELAIDE,1994,5,2491,97,2588
ADELAIDE,1994,6,2299,93,2392
ADELAIDE,1994,7,2526,97,2623
ADELAIDE,1994,8,2604,97,2701
ADELAIDE,1994,9,2515,96,2611
ADELAIDE,1994,10,2592,94,2686
ADELAIDE,1994,11,2607,97,2704
ADELAIDE,1994,12,2478,97,2575
ADELAIDE,1995,1,2417,97,2514
ADELAIDE,1995,2,2362,89,2451
ADELAIDE,1995,3,2660,94,2754
ADELAIDE,1995,4,2505,87,2592
ADELAIDE,1995,5,2716,88,2804
ADELAIDE,1995,6,2559,86,2645
ADELAIDE,1995,7,2748,88,2836
